locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMLADGDC_00001	rRNA	111				5S ribosomal RNA
PMLADGDC_00002	tRNA	77				tRNA-Asp(gtc)
PMLADGDC_00003	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
PMLADGDC_00004	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
PMLADGDC_00005	CDS	1176	ydhP		COG2814	Inner membrane transport protein YdhP
PMLADGDC_00006	CDS	801				hypothetical protein
PMLADGDC_00007	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
PMLADGDC_00008	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
PMLADGDC_00009	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
PMLADGDC_00010	CDS	723				hypothetical protein
PMLADGDC_00011	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
PMLADGDC_00012	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
PMLADGDC_00013	tRNA	77				tRNA-Asp(gtc)
PMLADGDC_00014	CDS	1056				hypothetical protein
PMLADGDC_00015	CDS	996				hypothetical protein
PMLADGDC_00016	CDS	1884				hypothetical protein
PMLADGDC_00017	CDS	495				hypothetical protein
PMLADGDC_00018	CDS	825				hypothetical protein
PMLADGDC_00019	CDS	903				hypothetical protein
PMLADGDC_00020	CDS	2640	clpV1		COG0542	Protein ClpV1
PMLADGDC_00021	CDS	543				hypothetical protein
PMLADGDC_00022	CDS	1509				hypothetical protein
PMLADGDC_00023	CDS	447				hypothetical protein
PMLADGDC_00024	CDS	486	hcp1_1		COG3157	Protein hcp1
PMLADGDC_00025	CDS	486				hypothetical protein
PMLADGDC_00026	CDS	333				hypothetical protein
PMLADGDC_00027	CDS	486	hcp1_2		COG3157	Protein hcp1
PMLADGDC_00028	CDS	537				hypothetical protein
PMLADGDC_00029	CDS	1344				hypothetical protein
PMLADGDC_00030	CDS	1305	pal_1			Peptidoglycan-associated lipoprotein
PMLADGDC_00031	CDS	774				hypothetical protein
PMLADGDC_00032	CDS	357				hypothetical protein
PMLADGDC_00033	CDS	3870				hypothetical protein
PMLADGDC_00034	CDS	768				hypothetical protein
PMLADGDC_00035	CDS	471				hypothetical protein
